model,accuracy,precision,recall,f1,roc_auc,specificity,g_mean,tp,fp,tn,fn
Original (Sin balanceo),0.9498495486459378,0.0,0.0,0.0,0.8379303062302007,1.0,0.0,0,0,947,50
SMOTE,0.876629889669007,0.14563106796116504,0.3,0.19607843137254902,0.8095881731784582,0.9070749736008448,0.52165361311914,15,88,859,35
ADASYN,0.8686058174523571,0.14782608695652175,0.34,0.20606060606060606,0.8064202745512142,0.8965153115100317,0.5521007208050093,17,98,849,33
BorderlineSMOTE,0.8956870611835507,0.15384615384615385,0.24,0.1875,0.8203590285110877,0.9303062302006336,0.47251824858745095,12,66,881,38
SMOTETomek,0.8696088264794383,0.12962962962962962,0.28,0.17721518987341772,0.8075607180570221,0.9007391763463569,0.5022021200442904,14,94,853,36
SMOTEENN,0.8164493480441324,0.14814814814814814,0.56,0.23430962343096234,0.8295670538542766,0.8299894403379092,0.6817580850926737,28,161,786,22
RandomUnderSampler,0.7101303911735206,0.1345565749235474,0.88,0.23342175066312998,0.824519535374868,0.7011615628299894,0.7855075908547229,44,283,664,6
XGBoost (weight=1.00),0.9498495486459378,0.0,0.0,0.0,0.8379303062302007,1.0,0.0,0,0,947,50
XGBoost (weight=9.56),0.8916750250752257,0.16279069767441862,0.28,0.20588235294117646,0.8347201689545934,0.9239704329461457,0.5086371213595413,14,72,875,36
XGBoost (weight=19.12),0.8585757271815446,0.1773049645390071,0.5,0.2617801047120419,0.8300527983104541,0.877507919746568,0.6623850540835625,25,116,831,25
XGBoost (weight=28.68),0.835506519558676,0.16470588235294117,0.56,0.2545454545454545,0.8236114044350581,0.8500527983104541,0.6899489597454687,28,142,805,22
XGBoost (weight=38.24),0.8164493480441324,0.15897435897435896,0.62,0.2530612244897959,0.8305174234424498,0.8268215417106652,0.7159813935156503,31,164,783,19
BalancedRandomForest,0.7703109327983951,0.14901960784313725,0.76,0.24918032786885247,0.8375290390707497,0.7708553326293559,0.7654084222154277,38,217,730,12
